GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,step,s_step
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,44,0.000463
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,45,0.000466
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,46,0.000470
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,47,0.000468
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,48,0.000466
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,49,0.000466
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,50,0.000466
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,51,0.000466
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,52,0.000469
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,53,0.000468
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,54,0.000466
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,55,0.000469
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,56,0.000468
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,57,0.000470
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,58,0.000468
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,59,0.000469
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,60,0.000471
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,61,0.000473
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,62,0.000471
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,63,0.000472
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,64,0.000471
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,65,0.000472
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,66,0.000475
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,67,0.000472
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,68,0.000472
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,69,0.000472
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,70,0.000473
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,71,0.000472
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,72,0.000472
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,73,0.000471
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,74,0.000472
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,75,0.000470
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,76,0.000472
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,77,0.000472
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,78,0.000470
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,79,0.000469
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,80,0.000469
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,81,0.000470
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,82,0.000480
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,83,0.000471
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,84,0.000473
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,85,0.000481
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,86,0.000486
