GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,64000,40.000000,18.000000,1.000000,30373.873698,0.009333,7.691515,0.000000,0.000000,0.038431,64000.000000,45.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,64000,40.000000,20.000000,1.000000,64000.000000,0.008667,7.406711,0.000000,0.000000,0.037009,64000.000000,50.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,64000,40.000000,22.000000,1.000000,64000.000000,0.026000,7.561097,0.000000,0.000000,0.037781,64000.000000,55.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,64000,40.000000,24.000000,1.000000,64000.000000,0.016000,7.668695,0.000000,0.000000,0.038319,64000.000000,60.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,64000,40.000000,26.000000,1.000000,64000.000000,0.009000,7.784281,0.000000,0.000000,0.038897,64000.000000,65.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,64000,40.000000,28.000000,1.000000,64000.000000,0.009000,7.888589,0.000000,0.000000,0.039419,64000.000000,70.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,64000,40.000000,30.000000,1.000000,64000.000000,0.009000,7.962706,0.000000,0.000000,0.039786,64000.000000,75.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,64000,40.000000,32.000000,1.000000,64000.000000,0.009667,8.003014,0.000000,0.000000,0.039991,64000.000000,80.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,64000,40.000000,34.000000,1.000000,64000.000000,0.008667,8.022988,0.000000,0.000000,0.040088,64000.000000,85.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,64000,40.000000,36.000000,1.000000,64000.000000,0.009667,8.030202,0.000000,0.000000,0.040115,64000.000000,90.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,64000,40.000000,38.000000,1.000000,64000.000000,0.009000,8.016894,0.000000,0.000000,0.040053,64000.000000,95.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,64000,40.000000,40.000000,1.000000,64000.000000,0.010000,8.041115,0.000000,0.000000,0.040176,64000.000000,100.000000
