GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,97336,46.000000,2.000000,1.000000,196.207530,0.003667,0.097997,0.000000,0.000000,0.000473,97336.000000,4.347826
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,195112,58.000000,2.000000,1.000000,198.959513,0.003333,0.157810,0.000000,0.000000,0.000773,195112.000000,3.448276
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,300763,67.000000,2.000000,1.000000,201.985763,0.004333,0.216416,0.000000,0.000000,0.001065,300763.000000,2.985075
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,405224,74.000000,2.000000,1.000000,202.003103,0.004000,0.262877,0.000000,0.000000,0.001298,405224.000000,2.702703
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,493039,79.000000,2.000000,1.000000,203.575195,0.003667,0.323980,0.000000,0.000000,0.001603,493039.000000,2.531646
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,592704,84.000000,2.000000,1.000000,203.049291,0.004667,0.366666,0.000000,0.000000,0.001815,592704.000000,2.380952
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,704969,89.000000,2.000000,1.000000,204.500076,0.003667,0.465744,0.000000,0.000000,0.002312,704969.000000,2.247191
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,804357,93.000000,2.000000,1.000000,204.771530,0.003333,0.487283,0.000000,0.000000,0.002420,804357.000000,2.150538
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,912673,97.000000,2.000000,1.000000,205.132050,0.004333,0.563493,0.000000,0.000000,0.002801,912673.000000,2.061856
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,1000000,100.000000,2.000000,1.000000,204.504008,0.003333,0.565414,0.000000,0.000000,0.002810,1000000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,10648,22.000000,2.000000,1.000000,0.000000,0.000000,0.140321,0.001719,0.000000,0.000702,10648.000000,9.090909
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,19683,27.000000,2.000000,1.000000,0.000000,0.000000,0.134603,0.001730,0.000000,0.000673,19683.000000,7.407407
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,29791,31.000000,2.000000,1.000000,0.000000,0.000000,0.135159,0.001525,0.000000,0.000676,29791.000000,6.451613
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,39304,34.000000,2.000000,1.000000,0.000000,0.000000,0.135826,0.001457,0.000000,0.000679,39304.000000,5.882353
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,50653,37.000000,2.000000,1.000000,0.000000,0.000000,0.136947,0.001680,0.000000,0.000685,50653.000000,5.405405
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,59319,39.000000,2.000000,1.000000,0.000000,0.000000,0.136536,0.001519,0.000000,0.000683,59319.000000,5.128205
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,68921,41.000000,2.000000,1.000000,0.000000,0.000000,0.137774,0.001513,0.000000,0.000689,68921.000000,4.878049
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,79507,43.000000,2.000000,1.000000,0.000000,0.000000,0.139645,0.001694,0.000000,0.000698,79507.000000,4.651163
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,91125,45.000000,2.000000,1.000000,0.000000,0.000000,0.143238,0.001544,0.000000,0.000716,91125.000000,4.444444
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,97336,46.000000,2.000000,1.000000,0.000000,0.000000,0.145082,0.001594,0.000000,0.000725,97336.000000,4.347826
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,195112,58.000000,2.000000,1.000000,0.000000,0.000000,0.186087,0.001744,0.000000,0.000930,195112.000000,3.448276
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,300763,67.000000,2.000000,1.000000,0.000000,0.000000,0.224755,0.001851,0.000000,0.001124,300763.000000,2.985075
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,405224,74.000000,2.000000,1.000000,0.000000,0.000000,0.274033,0.002047,0.000000,0.001370,405224.000000,2.702703
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,493039,79.000000,2.000000,1.000000,0.000000,0.000000,0.302607,0.002182,0.000000,0.001513,493039.000000,2.531646
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,592704,84.000000,2.000000,1.000000,0.000000,0.000000,0.343689,0.001842,0.000000,0.001718,592704.000000,2.380952
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,704969,89.000000,2.000000,1.000000,0.000000,0.000000,0.400057,0.002443,0.000000,0.002000,704969.000000,2.247191
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,804357,93.000000,2.000000,1.000000,0.000000,0.000000,0.407134,0.002935,0.000000,0.002036,804357.000000,2.150538
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,912673,97.000000,2.000000,1.000000,0.000000,0.000000,0.463815,0.001896,0.000000,0.002319,912673.000000,2.061856
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,1000000,100.000000,2.000000,1.000000,0.000000,0.000000,0.496594,0.001978,0.000000,0.002483,1000000.000000,2.000000
