GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA A100-SXM4-40GB,1,0, CuPy Distance Matrix,200,10648,22,2.000000,0,1.000000,0.000000,0.000000,6.614091,0.000686,0.000000,0.033070,10648,9.090909
NVIDIA A100-SXM4-40GB,1,0, CuPy Distance Matrix,200,19683,27,2.000000,0,1.000000,0.000000,0.000000,16.362882,0.000628,0.000000,0.081814,19683,7.407407
NVIDIA A100-SXM4-40GB,1,0, CuPy Distance Matrix,200,29791,31,2.000000,0,1.000000,0.000000,0.000000,38.903151,0.000657,0.000000,0.194516,29791,6.451613
NVIDIA A100-SXM4-40GB,1,0, CuPy Distance Matrix,200,39304,34,2.000000,0,1.000000,0.000000,0.000000,66.699148,0.000646,0.000000,0.333496,39304,5.882353
NVIDIA A100-SXM4-40GB,1,0, CuPy Grid,200,10648,22,2.000000,0,1.000000,0.000000,0.000000,1.041905,0.485280,0.000000,0.005210,10648,9.090909
NVIDIA A100-SXM4-40GB,1,0, CuPy Grid,200,19683,27,2.000000,0,1.000000,0.000000,0.000000,0.614300,0.000764,0.000000,0.003072,19683,7.407407
NVIDIA A100-SXM4-40GB,1,0, CuPy Grid,200,29791,31,2.000000,0,1.000000,0.000000,0.000000,0.629013,0.000771,0.000000,0.003145,29791,6.451613
NVIDIA A100-SXM4-40GB,1,0, CuPy Grid,200,39304,34,2.000000,0,1.000000,0.000000,0.000000,0.650729,0.000766,0.000000,0.003254,39304,5.882353
