GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,97336,46.000000,2.000000,1,1.000000,196.207550,0.000000,0.121037,0.000000,0.000000,0.000574,97336.000000,4.347826
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,195112,58.000000,2.000000,1,1.000000,198.959493,0.000000,0.195505,0.000000,0.000000,0.000954,195112.000000,3.448276
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,300763,67.000000,2.000000,1,1.000000,192.584849,0.000000,0.251311,0.000000,0.000000,0.001227,300763.000000,2.985075
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,405224,74.000000,2.000000,1,1.000000,202.003103,0.000000,0.327627,0.000000,0.000000,0.001614,405224.000000,2.702703
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,493039,79.000000,2.000000,1,1.000000,195.315435,0.000000,0.368288,0.000000,0.000000,0.001815,493039.000000,2.531646
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,592704,84.000000,2.000000,1,1.000000,203.049291,0.000000,0.450905,0.000000,0.000000,0.002230,592704.000000,2.380952
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,704969,89.000000,2.000000,1,1.000000,197.129283,0.000000,0.538489,0.000000,0.000000,0.002668,704969.000000,2.247191
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,804357,93.000000,2.000000,1,1.000000,197.677037,0.000000,0.552675,0.000000,0.000000,0.002739,804357.000000,2.150538
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,912673,97.000000,2.000000,1,1.000000,198.333059,0.000000,0.640122,0.000000,0.000000,0.003174,912673.000000,2.061856
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,100.000000,2.000000,1,1.000000,204.504008,0.000000,0.702279,0.000000,0.000000,0.003455,1000000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,500,10648,22.000000,2.000000,1,1.000000,186.148844,0.000000,0.236457,0.000000,0.000000,0.000453,10648.000000,9.090909
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,500,19683,27.000000,2.000000,1,1.000000,170.157095,0.000000,0.229015,0.000000,0.000000,0.000439,19683.000000,7.407407
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,500,29791,31.000000,2.000000,1,1.000000,174.056259,0.000000,0.246377,0.000000,0.000000,0.000471,29791.000000,6.451613
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,500,39304,34.000000,2.000000,1,1.000000,190.266037,0.000000,0.266100,0.000000,0.000000,0.000513,39304.000000,5.882353
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,500,50653,37.000000,2.000000,1,1.000000,178.420914,0.000000,0.258852,0.000000,0.000000,0.000498,50653.000000,5.405405
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,500,59319,39.000000,2.000000,1,1.000000,180.223027,0.000000,0.262478,0.000000,0.000000,0.000503,59319.000000,5.128205
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,500,68921,41.000000,2.000000,1,1.000000,180.995672,0.000000,0.293277,0.000000,0.000000,0.000565,68921.000000,4.878049
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,500,79507,43.000000,2.000000,1,1.000000,181.328659,0.000000,0.307509,0.000000,0.000000,0.000593,79507.000000,4.651163
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,500,91125,45.000000,2.000000,1,1.000000,183.080775,0.000000,0.300646,0.000000,0.000000,0.000582,91125.000000,4.444444
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,500,97336,46.000000,2.000000,1,1.000000,193.601206,0.000000,0.308636,0.000000,0.000000,0.000598,97336.000000,4.347826
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,500,195112,58.000000,2.000000,1,1.000000,194.756770,0.000000,0.497415,0.000000,0.000000,0.000973,195112.000000,3.448276
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,500,300763,67.000000,2.000000,1,1.000000,188.755987,0.000000,0.637261,0.000000,0.000000,0.001253,300763.000000,2.985075
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,500,405224,74.000000,2.000000,1,1.000000,197.177470,0.000000,0.829609,0.000000,0.000000,0.001640,405224.000000,2.702703
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,500,493039,79.000000,2.000000,1,1.000000,190.640630,0.000000,0.940831,0.000000,0.000000,0.001859,493039.000000,2.531646
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,500,592704,84.000000,2.000000,1,1.000000,197.757711,0.000000,1.138188,0.000000,0.000000,0.002255,592704.000000,2.380952
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,500,704969,89.000000,2.000000,1,1.000000,192.246348,0.000000,1.323386,0.000000,0.000000,0.002625,704969.000000,2.247191
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,500,804357,93.000000,2.000000,1,1.000000,192.588272,0.000000,1.403020,0.000000,0.000000,0.002786,804357.000000,2.150538
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,500,912673,97.000000,2.000000,1,1.000000,192.943304,0.000000,1.596243,0.000000,0.000000,0.003172,912673.000000,2.061856
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,500,1000000,100.000000,2.000000,1,1.000000,198.715220,0.000000,1.767671,0.000000,0.000000,0.003515,1000000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,1000,10648,22.000000,2.000000,1,1.000000,188.338898,0.000000,0.489328,0.000000,0.000000,0.000471,10648.000000,9.090909
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,1000,19683,27.000000,2.000000,1,1.000000,170.936147,0.000000,0.468236,0.000000,0.000000,0.000449,19683.000000,7.407407
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,1000,29791,31.000000,2.000000,1,1.000000,174.822896,0.000000,0.504224,0.000000,0.000000,0.000484,29791.000000,6.451613
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,1000,39304,34.000000,2.000000,1,1.000000,189.884679,0.000000,0.556812,0.000000,0.000000,0.000539,39304.000000,5.882353
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,1000,50653,37.000000,2.000000,1,1.000000,178.625356,0.000000,0.527870,0.000000,0.000000,0.000510,50653.000000,5.405405
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,1000,59319,39.000000,2.000000,1,1.000000,180.383159,0.000000,0.533707,0.000000,0.000000,0.000515,59319.000000,5.128205
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,1000,68921,41.000000,2.000000,1,1.000000,180.767090,0.000000,0.582629,0.000000,0.000000,0.000563,68921.000000,4.878049
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,1000,79507,43.000000,2.000000,1,1.000000,181.185608,0.000000,0.626998,0.000000,0.000000,0.000608,79507.000000,4.651163
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,1000,91125,45.000000,2.000000,1,1.000000,182.833364,0.000000,0.612987,0.000000,0.000000,0.000595,91125.000000,4.444444
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,1000,97336,46.000000,2.000000,1,1.000000,192.260335,0.000000,0.629997,0.000000,0.000000,0.000612,97336.000000,4.347826
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,1000,195112,58.000000,2.000000,1,1.000000,192.999054,0.000000,0.996687,0.000000,0.000000,0.000977,195112.000000,3.448276
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,1000,300763,67.000000,2.000000,1,1.000000,187.153580,0.000000,1.279704,0.000000,0.000000,0.001261,300763.000000,2.985075
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,1000,405224,74.000000,2.000000,1,1.000000,195.021545,0.000000,1.658975,0.000000,0.000000,0.001641,405224.000000,2.702703
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,1000,493039,79.000000,2.000000,1,1.000000,188.684464,0.000000,1.893138,0.000000,0.000000,0.001873,493039.000000,2.531646
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,1000,592704,84.000000,2.000000,1,1.000000,195.294271,0.000000,2.281258,0.000000,0.000000,0.002263,592704.000000,2.380952
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,1000,704969,89.000000,2.000000,1,1.000000,190.215663,0.000000,2.636524,0.000000,0.000000,0.002618,704969.000000,2.247191
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,1000,804357,93.000000,2.000000,1,1.000000,190.656642,0.000000,2.818434,0.000000,0.000000,0.002799,804357.000000,2.150538
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,1000,912673,97.000000,2.000000,1,1.000000,190.712036,0.000000,3.202469,0.000000,0.000000,0.003181,912673.000000,2.061856
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,1000,1000000,100.000000,2.000000,1,1.000000,196.194830,0.000000,3.536134,0.000000,0.000000,0.003516,1000000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,2000,10648,22.000000,2.000000,1,1.000000,189.460912,0.000000,0.998323,0.000000,0.000000,0.000480,10648.000000,9.090909
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,2000,19683,27.000000,2.000000,1,1.000000,171.444433,0.000000,0.941048,0.000000,0.000000,0.000453,19683.000000,7.407407
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,2000,29791,31.000000,2.000000,1,1.000000,175.462240,0.000000,1.015513,0.000000,0.000000,0.000490,29791.000000,6.451613
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,2000,39304,34.000000,2.000000,1,1.000000,189.753688,0.000000,1.139913,0.000000,0.000000,0.000553,39304.000000,5.882353
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,2000,50653,37.000000,2.000000,1,1.000000,178.881658,0.000000,1.066528,0.000000,0.000000,0.000516,50653.000000,5.405405
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,2000,59319,39.000000,2.000000,1,1.000000,180.552445,0.000000,1.082978,0.000000,0.000000,0.000524,59319.000000,5.128205
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,2000,68921,41.000000,2.000000,1,1.000000,180.912694,0.000000,1.165167,0.000000,0.000000,0.000565,68921.000000,4.878049
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,2000,79507,43.000000,2.000000,1,1.000000,181.431386,0.000000,1.266195,0.000000,0.000000,0.000616,79507.000000,4.651163
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,2000,91125,45.000000,2.000000,1,1.000000,182.797582,0.000000,1.240411,0.000000,0.000000,0.000603,91125.000000,4.444444
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,2000,97336,46.000000,2.000000,1,1.000000,191.608134,0.000000,1.267814,0.000000,0.000000,0.000616,97336.000000,4.347826
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,2000,195112,58.000000,2.000000,1,1.000000,192.282059,0.000000,2.001829,0.000000,0.000000,0.000983,195112.000000,3.448276
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,2000,300763,67.000000,2.000000,1,1.000000,186.395747,0.000000,2.550184,0.000000,0.000000,0.001258,300763.000000,2.985075
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,2000,405224,74.000000,2.000000,1,1.000000,194.007986,0.000000,3.317121,0.000000,0.000000,0.001641,405224.000000,2.702703
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,2000,493039,79.000000,2.000000,1,1.000000,187.786321,0.000000,3.806397,0.000000,0.000000,0.001886,493039.000000,2.531646
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,2000,592704,84.000000,2.000000,1,1.000000,194.098033,0.000000,4.568080,0.000000,0.000000,0.002266,592704.000000,2.380952
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,2000,704969,89.000000,2.000000,1,1.000000,189.237005,0.000000,5.264411,0.000000,0.000000,0.002614,704969.000000,2.247191
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,2000,804357,93.000000,2.000000,1,1.000000,189.766912,0.000000,5.638180,0.000000,0.000000,0.002801,804357.000000,2.150538
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,2000,912673,97.000000,2.000000,1,1.000000,189.736145,0.000000,6.391370,0.000000,0.000000,0.003178,912673.000000,2.061856
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,2000,1000000,100.000000,2.000000,1,1.000000,194.936523,0.000000,7.076242,0.000000,0.000000,0.003520,1000000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,100,10648,22.000000,2.000000,1,1.000000,179.456721,1.126333,0.046186,0.000000,0.000000,0.000417,10648.000000,9.090909
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,100,19683,27.000000,2.000000,1,1.000000,167.743902,0.008667,0.036999,0.000000,0.000000,0.000324,19683.000000,7.407407
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,100,29791,31.000000,2.000000,1,1.000000,173.240234,0.008000,0.037555,0.000000,0.000000,0.000346,29791.000000,6.451613
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,100,39304,34.000000,2.000000,1,1.000000,191.651947,0.008000,0.041609,0.000000,0.000000,0.000373,39304.000000,5.882353
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,100,50653,37.000000,2.000000,1,1.000000,179.127446,0.008000,0.041749,0.000000,0.000000,0.000372,50653.000000,5.405405
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,100,59319,39.000000,2.000000,1,1.000000,180.895452,0.008333,0.040483,0.000000,0.000000,0.000375,59319.000000,5.128205
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,100,68921,41.000000,2.000000,1,1.000000,182.439728,0.008333,0.043094,0.000000,0.000000,0.000397,68921.000000,4.878049
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,100,79507,43.000000,2.000000,1,1.000000,183.825933,0.008000,0.051349,0.000000,0.000000,0.000484,79507.000000,4.651163
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,100,91125,45.000000,2.000000,1,1.000000,185.219269,0.008333,0.051403,0.000000,0.000000,0.000484,91125.000000,4.444444
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,100,97336,46.000000,2.000000,1,1.000000,197.614705,0.008333,0.052974,0.000000,0.000000,0.000500,97336.000000,4.347826
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,100,195112,58.000000,2.000000,1,1.000000,201.173691,0.008333,0.083233,0.000000,0.000000,0.000783,195112.000000,3.448276
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,100,300763,67.000000,2.000000,1,1.000000,194.601211,0.011000,0.107124,0.000000,0.000000,0.001025,300763.000000,2.985075
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,100,405224,74.000000,2.000000,1,1.000000,204.377345,0.009333,0.129860,0.000000,0.000000,0.001260,405224.000000,2.702703
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,100,493039,79.000000,2.000000,1,1.000000,197.693018,0.009000,0.151700,0.000000,0.000000,0.001481,493039.000000,2.531646
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,100,592704,84.000000,2.000000,1,1.000000,205.671280,0.010000,0.182885,0.000000,0.000000,0.001795,592704.000000,2.380952
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,100,704969,89.000000,2.000000,1,1.000000,199.617091,0.009000,0.209446,0.000000,0.000000,0.002055,704969.000000,2.247191
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,100,804357,93.000000,2.000000,1,1.000000,200.298167,0.010667,0.227541,0.000000,0.000000,0.002244,804357.000000,2.150538
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,100,912673,97.000000,2.000000,1,1.000000,200.945155,0.009000,0.254096,0.000000,0.000000,0.002504,912673.000000,2.061856
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,100,1000000,100.000000,2.000000,1,1.000000,207.342357,0.009667,0.280476,0.000000,0.000000,0.002773,1000000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,1.000000,181.066294,0.008667,0.072613,0.000000,0.000000,0.000333,10648.000000,9.090909
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,1.000000,168.547811,0.008667,0.072095,0.000000,0.000000,0.000331,19683.000000,7.407407
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,29791,31.000000,2.000000,1,1.000000,173.234202,0.008667,0.077695,0.000000,0.000000,0.000355,29791.000000,6.451613
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,39304,34.000000,2.000000,1,1.000000,190.968140,0.008667,0.083104,0.000000,0.000000,0.000387,39304.000000,5.882353
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,50653,37.000000,2.000000,1,1.000000,178.532247,0.009667,0.082013,0.000000,0.000000,0.000381,50653.000000,5.405405
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,59319,39.000000,2.000000,1,1.000000,180.321121,0.008000,0.080798,0.000000,0.000000,0.000380,59319.000000,5.128205
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,68921,41.000000,2.000000,1,1.000000,181.674138,0.008333,0.083810,0.000000,0.000000,0.000392,68921.000000,4.878049
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,79507,43.000000,2.000000,1,1.000000,182.616618,0.008000,0.103725,0.000000,0.000000,0.000492,79507.000000,4.651163
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,91125,45.000000,2.000000,1,1.000000,184.291753,0.009667,0.102131,0.000000,0.000000,0.000487,91125.000000,4.444444
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,97336,46.000000,2.000000,1,1.000000,196.207540,0.008000,0.105991,0.000000,0.000000,0.000506,97336.000000,4.347826
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,195112,58.000000,2.000000,1,1.000000,198.959493,0.009000,0.157787,0.000000,0.000000,0.000761,195112.000000,3.448276
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,300763,67.000000,2.000000,1,1.000000,192.584849,0.009333,0.205592,0.000000,0.000000,0.001004,300763.000000,2.985075
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,405224,74.000000,2.000000,1,1.000000,202.003113,0.009000,0.255604,0.000000,0.000000,0.001250,405224.000000,2.702703
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,493039,79.000000,2.000000,1,1.000000,195.315430,0.009000,0.301663,0.000000,0.000000,0.001482,493039.000000,2.531646
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,592704,84.000000,2.000000,1,1.000000,203.049301,0.009333,0.367438,0.000000,0.000000,0.001797,592704.000000,2.380952
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,704969,89.000000,2.000000,1,1.000000,197.129272,0.009333,0.419232,0.000000,0.000000,0.002065,704969.000000,2.247191
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,804357,93.000000,2.000000,1,1.000000,197.677042,0.010667,0.442307,0.000000,0.000000,0.002185,804357.000000,2.150538
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,912673,97.000000,2.000000,1,1.000000,198.333064,0.009000,0.502763,0.000000,0.000000,0.002489,912673.000000,2.061856
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,1000000,100.000000,2.000000,1,1.000000,204.504008,0.009333,0.561290,0.000000,0.000000,0.002779,1000000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,500,10648,22.000000,2.000000,1,1.000000,186.148870,0.009333,0.184099,0.000000,0.000000,0.000347,10648.000000,9.090909
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,500,19683,27.000000,2.000000,1,1.000000,170.157105,0.008000,0.178968,0.000000,0.000000,0.000338,19683.000000,7.407407
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,500,29791,31.000000,2.000000,1,1.000000,174.056254,0.008333,0.193720,0.000000,0.000000,0.000368,29791.000000,6.451613
