GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,block_size,max_threads,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA A100-SXM4-40GB,1,0, cupy-grid-grid_stride,200,1000000,50.000000,1,1,864,100000,8.000000,0.000000,0.000000,1.699669,0.006265,0.000000,0.008498,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-grid-grid_stride,200,1000000,50.000000,1,1,864,250000,8.000000,0.000000,0.000000,1.312916,0.004809,0.000000,0.006565,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-grid-grid_stride,200,1000000,50.000000,1,1,864,500000,8.000000,0.000000,0.000000,1.320863,0.004221,0.000000,0.006604,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-grid-grid_stride,200,1000000,50.000000,1,1,864,1000000,8.000000,0.000000,0.000000,1.327033,0.004439,0.000000,0.006635,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-grid-grid_stride,200,1000000,50.000000,1,1,928,50000,8.000000,0.000000,0.000000,1.902301,0.006226,0.000000,0.009512,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-grid-grid_stride,200,1000000,50.000000,1,1,928,100000,8.000000,0.000000,0.000000,1.254218,0.005130,0.000000,0.006271,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-grid-grid_stride,200,1000000,50.000000,1,1,928,250000,8.000000,0.000000,0.000000,1.344733,0.004358,0.000000,0.006724,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-grid-grid_stride,200,1000000,50.000000,1,1,928,500000,8.000000,0.000000,0.000000,1.263145,0.004214,0.000000,0.006316,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-grid-grid_stride,200,1000000,50.000000,1,1,928,1000000,8.000000,0.000000,0.000000,1.299419,0.004274,0.000000,0.006497,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-grid-grid_stride,200,1000000,50.000000,1,1,1024,50000,8.000000,0.000000,0.000000,1.914015,0.006335,0.000000,0.009570,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-grid-grid_stride,200,1000000,50.000000,1,1,1024,100000,8.000000,0.000000,0.000000,1.270918,0.005100,0.000000,0.006355,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-grid-grid_stride,200,1000000,50.000000,1,1,1024,250000,8.000000,0.000000,0.000000,1.361678,0.004261,0.000000,0.006808,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-grid-grid_stride,200,1000000,50.000000,1,1,1024,500000,8.000000,0.000000,0.000000,1.269352,0.004246,0.000000,0.006347,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-grid-grid_stride,200,1000000,50.000000,1,1,1024,1000000,8.000000,0.000000,0.000000,1.273000,0.004218,0.000000,0.006365,125000.000000,2.000000
