GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,300763,67.000000,2.000000,1,1,1.000000,201.772018,0.003000,0.214479,0.000000,0.000000,0.001056
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,300763,67.000000,2.000000,1,2,1.000000,202.037781,0.003000,0.215080,0.000000,0.000000,0.001059
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,405224,74.000000,2.000000,1,0,1.000000,201.999329,0.004000,0.263989,0.000000,0.000000,0.001303
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,405224,74.000000,2.000000,1,1,1.000000,202.069611,0.005000,0.263772,0.000000,0.000000,0.001302
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,405224,74.000000,2.000000,1,2,1.000000,201.940384,0.004000,0.261896,0.000000,0.000000,0.001293
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,493039,79.000000,2.000000,1,0,1.000000,203.802521,0.003000,0.324838,0.000000,0.000000,0.001608
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,493039,79.000000,2.000000,1,1,1.000000,203.651382,0.004000,0.322968,0.000000,0.000000,0.001598
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,493039,79.000000,2.000000,1,2,1.000000,203.271622,0.004000,0.323000,0.000000,0.000000,0.001599
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,592704,84.000000,2.000000,1,0,1.000000,203.097641,0.003000,0.364980,0.000000,0.000000,0.001808
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,592704,84.000000,2.000000,1,1,1.000000,202.988358,0.003000,0.368882,0.000000,0.000000,0.001828
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,592704,84.000000,2.000000,1,2,1.000000,203.061920,0.004000,0.364983,0.000000,0.000000,0.001808
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,704969,89.000000,2.000000,1,0,1.000000,204.432114,0.003000,0.465298,0.000000,0.000000,0.002310
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,704969,89.000000,2.000000,1,1,1.000000,204.473633,0.004000,0.469793,0.000000,0.000000,0.002332
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,704969,89.000000,2.000000,1,2,1.000000,204.594467,0.006000,0.472437,0.000000,0.000000,0.002346
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,804357,93.000000,2.000000,1,0,1.000000,204.712692,0.003000,0.487383,0.000000,0.000000,0.002420
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,804357,93.000000,2.000000,1,1,1.000000,204.788101,0.003000,0.486045,0.000000,0.000000,0.002414
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,804357,93.000000,2.000000,1,2,1.000000,204.813766,0.004000,0.491156,0.000000,0.000000,0.002439
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,912673,97.000000,2.000000,1,0,1.000000,205.204865,0.003000,0.558778,0.000000,0.000000,0.002777
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,912673,97.000000,2.000000,1,1,1.000000,205.031158,0.003000,0.559926,0.000000,0.000000,0.002783
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,912673,97.000000,2.000000,1,2,1.000000,205.160156,0.004000,0.559746,0.000000,0.000000,0.002782
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,1000000,100.000000,2.000000,1,0,1.000000,204.508392,0.004000,0.565829,0.000000,0.000000,0.002812
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,1000000,100.000000,2.000000,1,1,1.000000,204.500717,0.003000,0.570446,0.000000,0.000000,0.002835
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,1000000,100.000000,2.000000,1,2,1.000000,204.502945,0.006000,0.564820,0.000000,0.000000,0.002807
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,2000376,126.000000,2.000000,1,0,1.000000,206.229309,0.003000,1.184707,0.000000,0.000000,0.005907
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,2000376,126.000000,2.000000,1,1,1.000000,206.135620,0.003000,1.182241,0.000000,0.000000,0.005895
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,2000376,126.000000,2.000000,1,2,1.000000,206.034546,0.003000,1.182683,0.000000,0.000000,0.005897
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,2985984,144.000000,2.000000,1,0,1.000000,206.997772,0.005000,1.691651,0.000000,0.000000,0.008442
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,2985984,144.000000,2.000000,1,1,1.000000,206.819839,0.005000,1.689234,0.000000,0.000000,0.008429
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,2985984,144.000000,2.000000,1,2,1.000000,206.780502,0.004000,1.690608,0.000000,0.000000,0.008436
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,4019679,159.000000,2.000000,1,0,1.000000,207.900665,0.003000,2.861979,0.000000,0.000000,0.014291
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,4019679,159.000000,2.000000,1,1,1.000000,207.844330,0.004000,2.877368,0.000000,0.000000,0.014370
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,4019679,159.000000,2.000000,1,2,1.000000,207.902542,0.005000,2.899457,0.000000,0.000000,0.014480
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,5000211,171.000000,2.000000,1,0,1.000000,208.188782,0.003000,4.042251,0.000000,0.000000,0.020194
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,5000211,171.000000,2.000000,1,1,1.000000,208.178238,0.003000,4.049813,0.000000,0.000000,0.020232
